ID,Data_Source_Type,Dataset_Size_Raw,Dataset_Size_Category,Validation_Strategy,Data_Availability,Data_Unit,Validation_Standardized,Data_Unit_Standardized,Src_Project_Records_Tabular,Src_Site_Images_Video,Src_Simulation_Synthetic_Data,Src_Survey_Interview,Src_Text_Documents,Src_Sensor_IoT_Streams,Src_Public_Benchmark_Dataset,Src_BIM_Models,Src_Bibliometric_Literature_Data,Src_Point_Cloud_LiDAR,Src_Audio_Data,Num_Data_Sources,Val_Ablation_Study,Val_Case_Study,Val_Comparison_with_Baseline,Val_Cross_Project_Validation,Val_Cross_Validation_K_Fold_LOO,Val_Experimental_Field_Testing,Val_Expert_Judgment,Val_Explainability_Analysis_SHAP_XAI,Val_Focus_Group,Val_Not_Applicable_Review_Conceptual,Val_Qualitative_Analysis,Val_SEM_PLS_Analysis,Val_Sensitivity_Analysis,Val_Simulation,Val_Statistical_Analysis,Val_Survey_Analysis,Val_Train_Test_Split,Val_Train_Val_Test_Split,Val_Transfer_Learning,Validation_Decomposed,Num_Validation_Components
1,BIM Models; Project Records/Tabular,"30,000+ views from 400+ projects","Very Large (>50,000)",Multiple Combined (Simulation; Experimental with Users; Comparison with Baseline),Private/Proprietary,BIM Objects/Elements,Multiple Combined,BIM/Design Data,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Comparison with Baseline; Experimental/Field Testing; Simulation,3
2,BIM Models; Simulation/Synthetic Data,Not quantified (design brief inputs),Not Applicable,Focus Group (5 AEC professionals),Not Stated,Design Alternatives,Focus Group,BIM/Design Data,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Focus Group,1
3,Project Records/Tabular,96 projects (115 after preprocessing),Small (<500),Comparison with Baseline Models,Private/Proprietary,Projects,Comparison with Baseline,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
4,Project Records/Tabular,75 projects,Small (<500),Train-Val-Test Split (60/5/10),Private/Proprietary,Projects,Train-Val-Test Split,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Train-Val-Test Split,1
5,Project Records/Tabular,163 buildings,Small (<500),"Comparison with Baseline Models (regression, CBR, GA)",Private/Proprietary,Projects,Comparison with Baseline,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
6,Sensor/IoT Streams; Site Images/Video,"10 participants, 41 activities",Small (<500),Multiple Combined (Expert Judgment by 5 ergonomists; Case Study on-site),Private/Proprietary,Sensor Readings,Multiple Combined,Sensor/Time-Series,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Expert Judgment,2
7,Site Images/Video; Public Benchmark Dataset,"2,381 images","Medium (500-5,000)",Train-Test Split,Mixed (Public + Private),Images,Train-Test Split,Visual Data,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
8,Site Images/Video,"1,281 images (augmented 5x)","Medium (500-5,000)",Multiple Combined (Train-Val-Test Split; Comparison with Baseline Models),Mixed (Public + Private),Images,Multiple Combined,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Comparison with Baseline; Train-Val-Test Split,2
9,Site Images/Video; Text Documents,Not quantified (receipt images),Not Reported,Case Study (proof-of-concept pilot),Private/Proprietary,Receipt Images,Case Study,Visual Data,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
10,Text Documents; Survey/Interview,54 papers reviewed; 8 risk factors,Small (<500),Multiple Combined (Expert Judgment; Comparison with Baseline Models),Not Stated,Risk Factors,Multiple Combined,Structured Records,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Expert Judgment,2
