ID,AI Model,Methodology,Goal
1,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
2,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
3,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
4,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
5,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Performance & Efficiency
6,No Specific AI Model / Review Studies,"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
7,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Trust & Transparency
8,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
9,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
10,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
11,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
12,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Integration & Scalability
13,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
14,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
15,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
16,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
17,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
18,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
19,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
20,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
21,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
22,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
23,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
24,Sensor/IoT Integration (LSTM and GRU),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
25,Sensor/IoT Integration (LSTM and GRU),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
26,Sensor/IoT Integration (LSTM and GRU),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
27,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
28,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
29,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
30,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
31,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
32,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),"Safety, Sustainability & Compliance"
33,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
34,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
35,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Decision Intelligence
36,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
37,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Integration & Scalability
38,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Trust & Transparency
39,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
40,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Decision Intelligence
41,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)","Safety, Sustainability & Compliance"
42,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Trust & Transparency
43,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
44,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
45,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
46,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
47,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
48,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
49,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
50,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Trust & Transparency
51,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
52,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
53,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
54,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
55,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
56,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
57,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)","Safety, Sustainability & Compliance"
58,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
59,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
60,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Data & Knowledge Infrastructure
61,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),"Safety, Sustainability & Compliance"
